support,itemsets,length
0.2067775247425486,frozenset({6}),1
0.13219897162663458,frozenset({11}),1
0.1679055844397657,frozenset({16}),1
0.16386656927197468,frozenset({21}),1
0.15339663988312638,frozenset({25}),1
0.08510577350005014,frozenset({58}),1
0.12137097351723743,frozenset({62}),1
0.09672152279465475,frozenset({70}),1
0.12969249058279264,frozenset({141}),1
0.3605608788438677,frozenset({150}),1
0.0831578796602644,frozenset({153}),1
0.15372606310603132,frozenset({161}),1
0.10190635786820207,frozenset({163}),1
0.20248070009596242,frozenset({165}),1
0.22649994987037914,frozenset({223}),1
0.14155172660737048,frozenset({231}),1
0.13420415646170814,frozenset({235}),1
0.18155516406708774,frozenset({253}),1
0.125538893424426,frozenset({292}),1
0.3054326186281671,frozenset({293}),1
0.5989200647388246,frozenset({296}),1
0.6026583021813546,frozenset({318}),1
0.11314971569343589,frozenset({329}),1
0.11972385740271273,frozenset({339}),1
0.0892164024119509,frozenset({350}),1
0.32773313854394936,frozenset({364}),1
0.2523811569916498,frozenset({380}),1
0.13546455835804008,frozenset({440}),1
0.14345665220069034,frozenset({454}),1
0.09417207350434695,frozenset({471}),1
0.08736876781391885,frozenset({475}),1
0.12357667683581833,frozenset({497}),1
0.20597545080851917,frozenset({500}),1
0.1797361749666996,frozenset({508}),1
0.12677064982311406,frozenset({509}),1
0.4823185665792979,frozenset({527}),1
0.3370715707758633,frozenset({541}),1
0.1478537360890302,frozenset({586}),1
0.18028043942193386,frozenset({587}),1
0.3013649579627322,frozenset({588}),1
0.28562425700740485,frozenset({590}),1
0.25368452713444767,frozenset({592}),1
0.14054913418983372,frozenset({594}),1
0.2425987195462553,frozenset({595}),1
0.09369942279322248,frozenset({596}),1
0.42146120683481575,frozenset({608}),1
0.08440395880777439,frozenset({628}),1
0.12503759721565763,frozenset({745}),1
0.25765192855812885,frozenset({750}),1
0.4215041750812816,frozenset({858}),1
0.16396682851372835,frozenset({903}),1
0.2577951560463484,frozenset({912}),1
0.09243902089689053,frozenset({914}),1
0.12707142754837508,frozenset({920}),1
0.19047823658316504,frozenset({923}),1
0.22468096076999097,frozenset({1073}),1
0.17553960956186712,frozenset({1090}),1
0.3066500522780332,frozenset({1213}),1
0.23274466835675103,frozenset({1246}),1
0.09209527492516363,frozenset({1249}),1
0.13630960053853536,frozenset({1250}),1
0.17157220813818588,frozenset({1252}),1
0.23333190105845114,frozenset({1259}),1
0.1261977398702359,frozenset({1262}),1
0.3507784413984732,frozenset({1265}),1
0.15962703562067632,frozenset({1266}),1
0.09685042753405233,frozenset({1267}),1
0.08469041378421346,frozenset({1272}),1
0.15929761239777138,frozenset({1278}),1
0.11229035076411865,frozenset({1282}),1
0.1330583365559518,frozenset({1358}),1
0.12525243844798695,frozenset({1370}),1
0.13927440954467982,frozenset({1374}),1
0.11191795929474785,frozenset({1380}),1
0.22406508257064695,frozenset({1387}),1
0.1087956000515619,frozenset({1408}),1
0.11161718156948681,frozenset({1485}),1
0.09583351236769361,frozenset({1552}),1
0.14196708632320715,frozenset({1573}),1
0.3123934745556367,frozenset({1580}),1
0.18353170340451738,frozenset({1584}),1
0.09752359672868417,frozenset({1608}),1
0.11869261948753204,frozenset({1639}),1
0.14049184319454588,frozenset({1641}),1
0.10657557398415904,frozenset({1645}),1
0.12720033228777267,frozenset({1673}),1
0.11856371474813446,frozenset({1676}),1
0.11717440811240493,frozenset({1729}),1
0.2447471318695484,frozenset({1732}),1
0.10424096592618055,frozenset({1777}),1
0.08998983084833641,frozenset({1884}),1
0.08695340809808218,frozenset({1907}),1
0.2080808948853464,frozenset({1923}),1
0.15555937495524141,frozenset({1954}),1
0.2638536787980349,frozenset({1961}),1
0.21717584038728713,frozenset({1968}),1
0.13714031997020867,frozenset({1997}),1
0.09013305833655595,frozenset({2001}),1
0.08125295406694452,frozenset({2003}),1
0.10053137398129448,frozenset({2005}),1
0.09020467208066572,frozenset({2006}),1
0.13646715077557686,frozenset({2019}),1
0.3850527793294089,frozenset({2028}),1
0.08547816496942093,frozenset({2078}),1
0.08679585786104069,frozenset({2080}),1
0.2148269095804867,frozenset({2115}),1
0.08469041378421346,frozenset({2161}),1
0.1546283962818144,frozenset({2268}),1
0.09637777682292786,frozenset({2288}),1
0.22018361763989744,frozenset({2291}),1
0.11791919105114654,frozenset({2321}),1
0.20427104369870666,frozenset({2324}),1
0.17432217591200103,frozenset({2355}),1
0.22079949583924147,frozenset({2502}),1
0.11877855598046377,frozenset({2617}),1
0.10663286497944685,frozenset({2640}),1
0.09616293559059855,frozenset({2657}),1
0.09156533321875135,frozenset({2761}),1
0.4094157750755525,frozenset({2762}),1
0.1868545811312107,frozenset({2791}),1
0.4238817513857259,frozenset({2959}),1
0.09792463369569888,frozenset({3033}),1
0.14980162992881593,frozenset({3052}),1
0.12107019579197639,frozenset({3081}),1
0.22531116171815696,frozenset({3114}),1
0.1245506237557112,frozenset({3175}),1
0.14395794840945875,frozenset({3527}),1
0.2228762944184248,frozenset({4011}),1
0.34391784471275727,frozenset({4226}),1
0.39681175611223307,frozenset({4993}),1
0.25964279064438045,frozenset({4995}),1
0.11900771996161504,frozenset({5060}),1
0.10806513986164225,frozenset({5902}),1
0.08430369956602071,frozenset({5956}),1
0.15644738538220254,frozenset({6016}),1
0.08451854079835001,frozenset({6373}),1
0.08872942895200447,frozenset({7090}),1
0.1633366275655624,frozenset({8368}),1
0.09667855454818888,frozenset({8464}),1
0.17092768444119796,frozenset({8665}),1
0.16111660149815954,frozenset({8874}),1
0.23569515461407353,frozenset({8961}),1
0.12745814176656783,frozenset({30707}),1
0.08216960999154958,frozenset({31658}),1
0.10693364270470788,frozenset({33166}),1
0.08163966828513729,frozenset({36529}),1
0.08659533937753333,frozenset({40819}),1
0.19188186596771653,frozenset({44191}),1
0.15535885647173406,frozenset({46578}),1
0.09092080952176342,frozenset({48385}),1
0.17031180624185394,frozenset({48780}),1
0.09808218393274037,frozenset({49530}),1
0.09305489909623454,frozenset({54503}),1
0.14539022329165413,frozenset({68954}),1
0.08689611710279437,"frozenset({16, 6})",2
0.09420071900199087,"frozenset({150, 6})",2
0.11124479010011601,"frozenset({293, 6})",2
0.16436786548074306,"frozenset({296, 6})",2
0.1545997507841705,"frozenset({318, 6})",2
0.12046864034145432,"frozenset({6, 527})",2
0.09624887208353027,"frozenset({541, 6})",2
0.08265658345149601,"frozenset({590, 6})",2
0.0800784886635443,"frozenset({592, 6})",2
0.12192956072129363,"frozenset({608, 6})",2
0.1234334493475988,"frozenset({858, 6})",2
0.1099127744596743,"frozenset({1213, 6})",2
0.09268250762686375,"frozenset({1265, 6})",2
0.11302081095403829,"frozenset({2028, 6})",2
0.1049714261161002,"frozenset({2762, 6})",2
0.11349346166516278,"frozenset({6, 2959})",2
0.0965210043111474,"frozenset({4226, 6})",2
0.09551841189361063,"frozenset({4993, 6})",2
0.08361620762256693,"frozenset({11, 150})",2
0.0932554175797419,"frozenset({11, 318})",2
0.0872255403256993,"frozenset({16, 293})",2
0.14215328205789254,"frozenset({296, 16})",2
0.13176928916197597,"frozenset({16, 318})",2
0.1042266431773586,"frozenset({16, 527})",2
0.10674744697002249,"frozenset({608, 16})",2
0.10763545739698363,"frozenset({16, 858})",2
0.10949741474383763,"frozenset({16, 1213})",2
0.09226714791102708,"frozenset({16, 2028})",2
0.08784141852504333,"frozenset({16, 2762})",2
0.09978659104255289,"frozenset({16, 2959})",2
0.08275684269324969,"frozenset({16, 4226})",2
0.08613701141523081,"frozenset({21, 150})",2
0.12864692991879,"frozenset({296, 21})",2
0.11516922327733138,"frozenset({21, 318})",2
0.09630616307881809,"frozenset({21, 527})",2
0.09888425786676978,"frozenset({608, 21})",2
0.12191523797247168,"frozenset({296, 25})",2
0.11231899626176256,"frozenset({25, 318})",2
0.0983543161603575,"frozenset({25, 527})",2
0.10544407682722468,"frozenset({608, 25})",2
0.08069436686288832,"frozenset({25, 858})",2
0.08824245549205803,"frozenset({62, 318})",2
0.08292871567911314,"frozenset({296, 141})",2
0.0880705825061946,"frozenset({141, 318})",2
0.10394018820091952,"frozenset({161, 150})",2
0.10697661095117375,"frozenset({165, 150})",2
0.09149371947464158,"frozenset({150, 223})",2
0.08706799008865782,"frozenset({253, 150})",2
0.11949469342156147,"frozenset({293, 150})",2
0.2361391598275541,"frozenset({296, 150})",2
0.2667755195577135,"frozenset({318, 150})",2
0.16189002993454504,"frozenset({364, 150})",2
0.13709735172374282,"frozenset({380, 150})",2
0.0842750540683768,"frozenset({440, 150})",2
0.09183746544636846,"frozenset({454, 150})",2
0.11674472564774631,"frozenset({500, 150})",2
0.10860940431687649,"frozenset({508, 150})",2
0.21847921053008493,"frozenset({150, 527})",2
0.12745814176656783,"frozenset({541, 150})",2
